Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Democratic Unionist Party,Sinn Féin,Social Democratic and Labour Party,Ulster Unionist Party,Alliance Party of Northern Ireland,Traditional Unionist Voice,Other
LucidTalk,Remain United,2019-10-30,2019-11-01,National,2386,Provided,Not Available,1%,28%,24%,14%,9%,16%,Not Available,9%
LucidTalk,,2019-08-09,2019-08-12,National,2302,Provided,Not Available,1%,29%,25%,8%,9%,21%,Not Available,8%
Survation,,2018-10-20,2018-11-02,National,555,Provided,Not Available,1%,31%,27%,11%,15%,12%,Not Available,4%
