Polling firm     | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | HDZ  | SDP  | Most | Živi zid | HNS | HSS | BM 365 | IDS | P   | START | GLAS | NHR | NLMK | Hrast | HS  | DPMŠ | AK   | HKS | Mož  | Other
Promocija PLUS   | N/A           | 2020-05-05      | 2020-05-08    | NE    | 1300        | N/A           | 0.1       | 30.2 | 27.8 | 4.0  | 1.1      | 1.6 | 2.7 | 1.1    | 1.9 | 1.0 | 0.5   | 0.5  | 0.5 | 0.6  | N/A   | 0.6 | 10.1 | N/A  | N/A | N/A  | 1.9
IPSOS PULS       | Dnevnik       | 2020-04-17      | 2020-04-22    | NE    | 1008        | N/A           | 0.1       | 27.9 | 23.2 | 5.1  | 1.3      | 1.0 | 1.1 | 1.1    | 2.6 | 2.8 | N/A   | N/A  | N/A | N/A  | N/A   | 1.6 | 10.5 | N/A  | N/A | N/A  | 5.3
Promocija PLUS   | N/A           | 2020-04-15      | 2020-04-18    | NE    | 1400        | N/A           | 0.1       | 29.9 | 27.4 | 4.1  | 1.6      | 1.3 | 2.1 | 1.4    | 1.5 | 1.5 | 0.9   | 0.8  | 0.9 | 1.0  | N/A   | 1.1 | 9.2  | N/A  | N/A | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2020-04-01      | 2020-04-09    | NE    | 1041        | N/A           | 0.1       | 26.1 | 30.7 | 3.9  | 1.2      | N/A | N/A | N/A    | 2.0 | N/A | N/A   | 0.9  | 1.1 | N/A  | N/A   | 1.1 | 12.5 | N/A  | N/A | N/A  | N/A
Promocija PLUS   | N/A           | 2020-03-31      | 2020-04-03    | NE    | 1400        | N/A           | 0.1       | 28.4 | 27.0 | 3.8  | 1.9      | 1.3 | 2.7 | 1.1    | 1.8 | 1.2 | N/A   | N/A  | N/A | N/A  | N/A   | 1.0 | 10.9 | N/A  | N/A | N/A  | 1.6
IPSOS PULS       | Dnevnik       | 2020-03-01      | 2020-03-20    | NE    | 992         | N/A           | 0.1       | 25.2 | 23.7 | 4.4  | 3.0      | 1.3 | 1.3 | 1.7    | 1.6 | 2.3 | N/A   | N/A  | N/A | N/A  | N/A   | N/A | 12.5 | N/A  | N/A | N/A  | 9.5
Promocija PLUS   | N/A           | 2020-03-16      | 2020-03-19    | NE    | 1400        | N/A           | 0.1       | 27.3 | 29.3 | 3.8  | 1.1      | 1.1 | 2.5 | 1.4    | 1.3 | 1.3 | 0.8   | 0.8  | 0.9 | 2.0  | N/A   | 1.1 | 10.5 | N/A  | N/A | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2020-03-04      | 2020-03-12    | NE    | 1041        | N/A           | 0.1       | 24.2 | 35.0 | 3.4  | 1.9      | 0.7 | 1.3 | N/A    | 2.0 | 1.9 | N/A   | 2.2  | 2.2 | N/A  | N/A   | N/A | 15.8 | N/A  | N/A | N/A  | N/A
Promocija PLUS   | N/A           | 2020-03-03      | 2020-03-06    | NE    | 1300        | N/A           | 0.1       | 29.6 | 32.5 | 5.3  | 1.3      | 1.3 | 2.5 | 1.6    | 1.4 | 1.2 | 1.0   | 0.8  | 1.0 | 2.2  | N/A   | 1.0 | 12.7 | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Dnevnik       | 2020-02-01      | 2020-02-20    | NE    | 988         | N/A           | 0.1       | 26.2 | 26.6 | 4.6  | 1.8      | 0.7 | 2.6 | 2.1    | 3.1 | 2.2 | 1.4   | N/A  | 0.1 | N/A  | N/A   | 1.5 | 10.7 | N/A  | N/A | N/A  | N/A
Promocija PLUS   | N/A           | 2020-02-14      | 2020-02-18    | NE    | 1400        | N/A           | 0.1       | 29.9 | 32.3 | 4.3  | 1.2      | 1.3 | 2.7 | 1.3    | 1.1 | 1.4 | 0.9   | 0.9  | 1.2 | 2.8  | 1.3   | N/A | 11.0 | N/A  | N/A | N/A  | N/A
Promocija PLUS   | RTL           | 2020-02-06      | 2020-02-06    | NE    | 1300        | N/A           | 0.1       | 26.8 | 28.9 | 5.1  | 1.0      | 1.3 | 2.3 | 1.4    | 1.3 | 1.3 | 0.9   | 0.6  | 0.9 | 2.5  | N/A   | 2.2 | 9.4  | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Dnevnik       | 2020-01-21      | 2020-01-22    | NE    | 977         | N/A           | 0.1       | 28.4 | 30.1 | 3.3  | 2.2      | 0.1 | 1.4 | N/A    | 1   | 2.3 | 1.1   | 1.6  | N/A | N/A  | N/A   | 1.9 | 18.4 | N/A  | N/A | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2020-01-09      | 2020-01-16    | NE    | 1014        | N/A           | 0.1       | 25.6 | 33.6 | 4.6  | 4.4      | N/A | 2   | N/A    | 1.6 | N/A | N/A   | N/A  | 1.9 | N/A  | N/A   | 1.5 | 12.6 | N/A  | N/A | N/A  | N/A
Promocija plus   | HRT           | 2020-01-07      | 2020-01-11    | NE    | 1300        | N/A           | 0.1       | 30.9 | 31.9 | 6.4  | 2.4      | 2   | 3.4 | 1.5    | 1.5 | 1.5 | 0.8   | 0.6  | 0.8 | 3.4  | N/A   | 4.5 | N/A  | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Dnevnik       | 2019-12-01      | 2019-12-20    | NE    | 982         | 93            | 0.1       | 25.2 | 21.5 | 3.7  | 4.7      | 1.4 | 2.4 | 2.5    | 1.5 | 2.9 | 2.5   | 1.1  | N/A | 5.7  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 7.0
Promocija plus   | HRT           | 2019-12-05      | 2019-12-09    | NE    | 1300        | 87.5          | 0.1       | 27.3 | 25.2 | 6.2  | 1.5      | 2.0 | 3.1 | 1.7    | 1.4 | 1.1 | N/A   | N/A  | 0.7 | 6.6  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 2.5
IPSOS PULS       | Dnevnik       | 2019-11-01      | 2019-11-20    | NE    | 989         | N/A           | 0.1       | 29.4 | 22.5 | 3.7  | 4.2      | 1.4 | 2.5 | 4.6    | 2.1 | 2.2 | 1.1   | N/A  | 1.7 | 7.5  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 8.3
Promocija plus   | HRT           | 2019-11-01      | 2019-11-25    | NE    | 1400        | N/A           | 0.1       | 31.1 | 28.7 | 6.6  | 1.9      | 1.7 | 3.6 | 2.3    | 1.6 | 1.1 | 1     | 0.9  | 1.6 | 8.6  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 7.7
2x1 Komunikacije | CroElecto     | 2019-11-04      | 2019-11-15    | NE    | 1041        | 77.4          | 0.1       | 25.7 | 26.9 | 4.8  | 2.8      | N/A | N/A | N/A    | 1.3 | 1.3 | N/A   | N/A  | 2.4 | 5.0  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
Promocija plus   | RTL           | 2019-11-04      | 2019-11-08    | NE    | 1300        | N/A           | 0.1       | 31.5 | 28.0 | 6.4  | 3.2      | 2.4 | 3.8 | 2.3    | 1.5 | N/A | N/A   | N/A  | 1.5 | 7    | 1.7   | N/A | N/A  | N/A  | 1.3 | N/A  | 1.2
2x1 Komunikacije | CroElecto     | 2019-10-11      | 2019-10-23    | NE    | 1041        | 78.8          | 0.1       | 24.8 | 28.2 | 4.9  | 2.9      | 0.5 | N/A | N/A    | 1.8 | N/A | N/A   | N/A  | 2.1 | 2.8  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Dnevnik       | 2019-10-01      | 2019-10-20    | NE    | 982         | N/A           | 0.1       | 30.2 | 23.1 | 5.4  | 5.3      | 1.4 | 2.6 | 3.9    | 2.3 | 1.9 | 1.4   | 0.2  | 1.2 | 5.7  | 1.3   | N/A | N/A  | N/A  | N/A | N/A  | 6.2
Promocija plus   | HRT           | 2019-10-14      | 2019-10-18    | NE    | 1400        | N/A           | 0.1       | 30.8 | 27.6 | 6.3  | 2        | 1.9 | 3.7 | 2.1    | 1.5 | 0.8 | 1.2   | 1    | 2.5 | 6.7  | 1.6   | N/A | N/A  | N/A  | 1.3 | N/A  | 4.8
Promocija plus   | HRT           | 2019-10-01      | 2019-10-04    | NE    | 1300        | N/A           | 0.1       | 30.8 | 27.3 | 6.2  | 2.1      | 1.9 | 3.9 | 2.2    | N/A | N/A | N/A   | N/A  | 2.5 | 6.9  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 2.1
Promocija plus   | HRT           | 2019-09-01      | 2019-09-23    | NE    | 1400        | N/A           | 0.1       | 31.3 | 28.1 | 5.8  | 2.5      | N/A | 3.5 | N/A    | N/A | N/A | N/A   | N/A  | 2.7 | 6.7  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Dnevnik       | 2019-09-01      | 2019-09-20    | NE    | 978         | N/A           | 0.1       | 29.2 | 21.9 | 6.1  | 4.3      | 1.7 | 2.8 | 4.5    | 2.5 | 2.2 | 1.3   | 0.1  | 1.6 | 6.6  | 1.7   | N/A | N/A  | N/A  | N/A | N/A  | 10.2
2x1 Komunikacije | CroElecto     | 2019-09-09      | 2019-09-19    | NE    | 1041        | 68.9          | 0.1       | 24.9 | 28.1 | 3.4  | 2.2      | N/A | N/A | N/A    | 1.7 | 1.1 | N/A   | N/A  | 2.2 | 3.2  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
Promocija plus   | RTL           | 2019-09-02      | 2019-09-06    | NE    | 1300        | N/A           | 0.1       | 31.2 | 28.2 | 5.8  | 2.2      | 2.2 | 3.8 | 2.2    | N/A | N/A | N/A   | N/A  | 3   | 6.8  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 2
2x1 Komunikacije | CroElecto     | 2019-08-01      | 2019-08-24    | NE    | 1041        | 72.7          | 0.1       | 20.9 | 23.8 | 3.4  | 4.0      | 1.9 | N/A | N/A    | 1.7 | N/A | N/A   | N/A  | 2.9 | 4.0  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Nova TV       | 2019-08-01      | 2019-08-20    | NE    | 978         | N/A           | 0.1       | 27.4 | 21.0 | 6.0  | 3.6      | 1.7 | 2.2 | 4.0    | 2.2 | 1.9 | 1.0   | N/A  | 1.5 | 6.1  | 1.8   | N/A | N/A  | N/A  | N/A | N/A  | 3.8
Promocija plus   | RTL           | 2019-07-31      | 2019-08-03    | NE    | 1300        | 86.8          | 0.1       | 26.4 | 22.6 | 4.7  | 2.5      | 2.2 | 3.4 | 1.9    | N/A | N/A | N/A   | 1.4  | 3.4 | 5.6  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 3.4
IPSOS PULS       | CroBarometer  | 2019-07-01      | 2019-07-20    | NE    | 976         | 90.8          | 0.1       | 24.2 | 21.4 | 5.0  | 3.2      | 0.8 | 3.4 | 3.6    | 1.8 | 2.4 | 0.6   | 1.6  | 2.0 | 6.7  | 1.6   | N/A | N/A  | N/A  | N/A | N/A  | 5.6
2x1 Komunikacije | CroElecto     | 2019-07-08      | 2019-07-15    | NE    | 1041        | 72.3          | 0.1       | 21.2 | 23.3 | 1.9  | 2.8      | N/A | N/A | N/A    | 0.9 | N/A | N/A   | 0.9  | 2.7 | 2.9  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 15.7
Promocija plus   | RTL           | 2019-07-01      | 2019-07-05    | NE    | 1300        | N/A           | 0.1       | 25.5 | 21.5 | 4.7  | 4.3      | 3.2 | 3.3 | 1.7    | N/A | N/A | N/A   | N/A  | 4.3 | 7.2  | 1.9   | N/A | N/A  | N/A  | N/A | N/A  | 3.4
IPSOS PULS       | CroBarometer  | 2019-06-01      | 2019-06-20    | NE    | 986         | N/A           | 0.1       | 24.9 | 18.3 | 6.1  | 6.0      | 2.3 | 3.0 | 2.4    | 2.6 | 1.0 | 0.5   | 0.4  | 1.8 | 10.9 | 0.6   | N/A | N/A  | N/A  | N/A | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2019-06-07      | 2019-06-17    | NE    | 1041        | N/A           | 0.1       | 21.0 | 20.5 | 3.8  | 5.1      | 0.9 | 1.3 | 0.7    | 2.0 | 1.0 | 0.8   | 2.2  | 4.2 | 4.8  | 0.5   | N/A | N/A  | N/A  | N/A | N/A  | 3.1
Promocija plus   | RTL           | 2019-06-03      | 2019-06-07    | NE    | 1300        | N/A           | 0.1       | 26.5 | 20.4 | 4.0  | 5.4      | 2.9 | 3.1 | 2.0    | N/A | 2.2 | 0.9   | 0.9  | 4.3 | 7.0  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 4.0
2x1 Komunikacije | CroElecto     | 2019-05-27      | 2019-06-01    | NE    | 1041        | N/A           | 0.1       | 19.5 | 17.4 | 4.7  | 5.7      | N/A | 1.3 | 1.4    | 1.7 | N/A | 1.0   | N/A  | 4.2 | 6.0  | 5.9   | N/A | N/A  | N/A  | N/A | N/A  | 11.5
2x1 Komunikacije | CroElecto     | 2019-05-13      | 2019-05-21    | E     | 1041        | 62            | 0.1       | 24.0 | 21.2 | 7.0  | 11.0     | 1.7 | N/A | 2.6    | N/A | N/A | N/A   | N/A  | 5.3 | N/A  | N/A   | N/A | N/A  | 5.9  | N/A | N/A  | N/A
IPSOS PULS       | CroBarometer  | 2019-05-01      | 2019-05-20    | E     | 985         | N/A           | 0.1       | 28.2 | 20.1 | 6.1  | 7.4      | N/A | N/A | 3.0    | N/A | N/A | 3.0   | N/A  | 4.6 | N/A  | N/A   | N/A | N/A  | 6.2  | 4.2 | N/A  | 12.1
Promocija Plus   | HRT           | 2019-05-13      | 2019-05-18    | N     | 1400        | N/A           | 0.1       | 27.2 | 18.1 | 6.8  | 7.8      | 2.8 | 3.1 | 2.9    | 1.3 | 1.6 | 2.9   | 1.9  | 3.4 | 3.8  | 1.6   | N/A | N/A  | N/A  | N/A | N/A  | 5.0
Promocija Plus   | HRT           | 2019-05-13      | 2019-05-18    | E     | 1400        | N/A           | 0.1       | 24.5 | 16.4 | 6.7  | 7.4      | 3.1 | N/A | 2.3    | N/A | 2.0 | 2.2   | N/A  | 3.6 | N/A  | N/A   | N/A | N/A  | 6.9  | N/A | N/A  | 3.1
Promocija plus   | RTL           | 2019-04-30      | 2019-05-06    | E     | 1300        | N/A           | 0.1       | 26.0 | 16.2 | 5.6  | 7.9      | N/A | N/A | 3.3    | N/A | N/A | N/A   | N/A  | 3.4 | N/A  | N/A   | N/A | N/A  | 7.0  | 3.1 | N/A  | N/A
Promocija plus   | RTL           | 2019-04-30      | 2019-05-06    | E     | 1300        | N/A           | 0.1       | 27.3 | 17.4 | 6.6  | 9.6      | 2.8 | 3.3 | 3.0    | N/A | N/A | 2.6   | N/A  | 3.8 | 2.8  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2019-04-30      | 2019-04-30    | E     | (1041)      | N/A           | 0.1       | 24.0 | 21.0 | 6.8  | 9.8      | 1.0 | N/A | 1.0    | N/A | N/A | 2.0   | N/A  | 5.0 | N/A  | N/A   | N/A | N/A  | 7.9  | 2.7 | N/A  | 6.9
Oraclum          | N/A           | 2019-04-22      | 2019-04-27    | E     | 1200        | N/A           | 0.1       | 36.1 | 20.5 | 7.4  | 9.7      | 1.2 | N/A | 2.2    | N/A | N/A | 3.4   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | 2.9  | 2.4 | N/A  | 5.5
IPSOS PULS       | Nova TV       | 2019-04-15      | 2019-04-25    | E     | 841         | N/A           | 0.1       | 26.9 | 17.4 | 6.0  | 8.7      | N/A | N/A | 3.1    | N/A | N/A | N/A   | N/A  | 2.8 | N/A  | N/A   | N/A | N/A  | 7.1  | N/A | N/A  | 12.5
IPSOS PULS       | Nova TV       | 2019-04-15      | 2019-04-25    | N     | 841         | 91.5          | 0.1       | 25.5 | 13.3 | 6.5  | 11.9     | 2.1 | 2.8 | 3.5    | 1.7 | 2.5 | 4.9   | 2.1  | 3.1 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 7.4
Promocija plus   | RTL           | 2019-04-12      | 2019-04-18    | E     | 1400        | N/A           | 0.1       | 25.1 | 15.7 | 6.2  | 7.7      | 2.4 | N/A | 2.4    | N/A | N/A | 3.2   | N/A  | 4.1 | N/A  | N/A   | N/A | N/A  | 7.6  | 3.9 | N/A  | N/A
Promocija plus   | RTL           | 2019-04-12      | 2019-04-18    | N     | 1400        | 90.2          | 0.1       | 27.6 | 17.8 | 7.0  | 8.1      | 2.3 | 3.2 | 2.4    | 1.1 | 2.2 | 3.6   | 2.1  | 4.0 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 5.9
Promocija plus   | RTL           | 2019-04-01      | 2019-04-05    | E     | 1300        | N/A           | 0.1       | 26.9 | 16.5 | 6.0  | 8.3      | N/A | N/A | N/A    | N/A | N/A | 4.0   | N/A  | 4.5 | N/A  | N/A   | N/A | N/A  | 8.2  | 4.0 | N/A  | 1.6
Promocija plus   | RTL           | 2019-04-01      | 2019-04-05    | N     | 1300        | N/A           | 0.1       | 28.0 | 16.9 | 6.8  | 8.5      | N/A | 3.4 | 2.6    | N/A | N/A | 3.7   | N/A  | 3.6 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2019-03-23      | 2019-03-23    | E     | (1041)      | N/A           | 0.1       | 26.6 | 20.8 | 8.8  | 10.5     | 2.6 | N/A | N/A    | N/A | N/A | N/A   | N/A  | 6.2 | N/A  | N/A   | N/A | N/A  | 14.4 | 1.5 | N/A  | N/A
IPSOS PULS       | Nova TV       | 2019-03-01      | 2019-03-20    | E     | 983         | N/A           | 0.1       | 29.5 | 18.9 | 6.1  | 9.4      | N/A | N/A | 4.0    | N/A | N/A | 4.1   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | 5.6  | N/A | N/A  | 16.6
IPSOS PULS       | Nova TV       | 2019-03-01      | 2019-03-20    | N     | 983         | 90.7          | 0.1       | 27.0 | 14.0 | 6.0  | 11.8     | 1.2 | 3.2 | 4.5    | 1.7 | 1.4 | 5.1   | 1.5  | 2.2 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 6.3
Promocija plus   | HRT           | 2019-03-13      | 2019-03-18    | E     | 1400        | N/A           | 0.1       | 27.0 | 16.4 | 6.4  | 9.3      | 2.3 | N/A | 3.6    | N/A | N/A | 4.1   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | 8.4  | 2.8 | N/A  | 1.6
Promocija plus   | HRT           | 2019-03-13      | 2019-03-18    | N     | 1400        | 88.7          | 0.1       | 27.8 | 16.5 | 6.4  | 10.6     | 2.3 | 3.8 | 2.5    | 1.3 | 2.4 | 3.2   | 2.5  | 3.5 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 3.0
Promocija plus   | HRT           | 2019-03-06      | 2019-03-06    | E     | 1300        | N/A           | 0.1       | 27.6 | 16.7 | 6.5  | 9.6      | 2.5 | N/A | 4.0    | N/A | N/A | 4.0   | N/A  | 4.2 | N/A  | N/A   | N/A | N/A  | 8.2  | N/A | N/A  | N/A
Promocija plus   | HRT           | 2019-03-06      | 2019-03-06    | N     | 1300        | N/A           | 0.1       | 28.1 | 17.0 | 6.8  | 10.4     | 2.5 | 3.6 | 2.7    | N/A | N/A | 3.4   | 2.9  | 3.6 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2019-02-18      | 2019-02-27    | E     | 1041        | N/A           | 0.1       | 26.3 | 20.0 | 8.7  | 9.9      | 1.5 | N/A | N/A    | N/A | N/A | N/A   | N/A  | 7.5 | N/A  | N/A   | N/A | N/A  | 14.1 | 1.7 | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2019-02-18      | 2019-02-27    | N     | 1041        | 87.1          | 0.1       | 26.4 | 18.1 | 7.9  | 10.5     | 1.2 | 1.5 | N/A    | 1.4 | 1.4 | 4.1   | 5.1  | 5.4 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 4.2
IPSOS PULS       | Nova TV       | 2019-02-01      | 2019-02-20    | E     | 991         | N/A           | 0.1       | 29.6 | 15.7 | 4.9  | 9.4      | N/A | N/A | 5.0    | N/A | N/A | 4.0   | N/A  | N/A | N/A  | N/A   | N/A | N/A  | 7.2  | N/A | N/A  | 16.0
IPSOS PULS       | Nova TV       | 2019-02-01      | 2019-02-20    | N     | 991         | 94.6          | 1         | 28.4 | 13.7 | 6.3  | 12.4     | 1.8 | 3.7 | 4.2    | 1.8 | 1.8 | 5.6   | 1.5  | 2   | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.4
Promocija plus   | HRT           | 2019-01-31      | 2019-02-04    | NE    | 1300        | 88.4          | 0.1       | 28.4 | 15.8 | 6.5  | 10.9     | 1.6 | 3.2 | 2.0    | 1.6 | 1.6 | 4.6   | 3.8  | 3.3 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 5.2
2x1 Komunikacije | CroElecto     | 2019-02-02      | 2019-02-02    | N     | (1041)      | 86.6          | 0.1       | 27.0 | 18.4 | 6.1  | 10.9     | 1.1 | 1.4 | 0.4    | 1.4 | 1.5 | 2.4   | 5.2  | 6.8 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 4.0
2x1 Komunikacije | CroElecto     | 2019-02-01      | 2019-02-01    | E     | (1041)      | N/A           | 0.1       | 26.4 | 22.0 | 6.8  | 10.5     | 1.4 | N/A | N/A    | N/A | N/A | N/A   | N/A  | 8.6 | N/A  | N/A   | N/A | N/A  | 14.0 | 2.2 | N/A  | N/A
IPSOS PULS       | Nova TV       | 2019-01-01      | 2019-01-20    | N     | 990         | N/A           | 1         | 32   | 16   | 7    | 15       | 2   | 4   | 4      | 2   | 3   | N/A   | 2    | 2   | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | N/A
IPSOS PULS       | Nova TV       | 2019-01-01      | 2019-01-18    | E     | 1000        | N/A           | 0.1       | 20.1 | 10.6 | 7.5  | 10.8     | 0.2 | N/A | 5.1    | N/A | N/A | 9.4   | N/A  | 8.9 | N/A  | N/A   | N/A | N/A  | 12.5 | N/A | N/A  | N/A
Promocija plus   | HRT           | 2019-01-02      | 2019-01-07    | NE    | 1300        | 86.8          | 0.1       | 29.1 | 16.1 | 7.2  | 13.7     | 1.7 | 2.6 | 1.9    | 1.4 | 1.7 | N/A   | 1.5  | 2.9 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 7
Ninamedia        | N/A           | 2018-12-07      | 2018-12-13    | NE    | 959         | 72.3          | 0.1       | 23.4 | 17.1 | 4.8  | 8.3      | 0.7 | 0.9 | 1.8    | 1.7 | N/A | N/A   | 2.9  | 3.2 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 4.8
2x1 Komunikacije | CroElecto     | 2018-12-27      | 2018-12-27    | E     | 1046        | N/A           | 0.1       | 28.4 | 22.8 | 6.6  | 12.0     | 1.6 | N/A | N/A    | N/A | N/A | N/A   | N/A  | 6.6 | N/A  | N/A   | N/A | N/A  | 10.6 | 1.0 | N/A  | N/A
2x1 Komunikacije | CroElecto     | 2018-12-27      | 2018-12-27    | N     | 1046        | 82.4          | 0.1       | 28.4 | 18.3 | 6.2  | 11.1     | 1.1 | 0.9 | 0.8    | 1.4 | 1.4 | N/A   | 3.7  | 5.2 | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 4.9
IPSOS PULS       | Nova TV       | 2018-12-01      | 2018-12-20    | NE    | 982         | 71.1          | 0.1       | 28.9 | 14.8 | 6.3  | 14.9     | 1.8 | 3.6 | 3.0    | 1.6 | 2.5 | N/A   | 1.1  | 1   | N/A  | N/A   | N/A | N/A  | N/A  | N/A | N/A  | 11.8
