Polling firm  | Commissioners  | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP  | CHP  | HDP  | MHP  | İYİ  | SP  | GP  | DEVA | MP  | YRP | TİP | ZP  | YSP  | Other
KONDA         | N/A            | 2022-05-14      | 2022-05-15    | N     | 3260        | N/A           | 0.1       | 28.7 | 24.7 | 12.2 | 7.5  | 21.7 | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 5.2
MetroPOLL     | N/A            | 2022-05-13      | 2022-05-20    | N     | 2045        | N/A           | 0.1       | 32.7 | 22.6 | 13.8 | 8.0  | 15.1 | 1.6 | N/A | 1.3  | N/A | 1.0 | 0.6 | 1.8 | N/A  | 0.7
ALF           | N/A            | 2022-05-13      | 2022-05-17    | N     | 3550        | N/A           | 0.1       | 28.5 | 24.3 | 8.1  | 7.1  | 19.0 | 1.6 | 2.1 | 2.3  | 1.0 | 1.2 | N/A | N/A | N/A  | 4.8
Yöneylem      | Self           | 2022-05-12      | 2022-05-15    | N     | 2400        | N/A           | 0.1       | 31.2 | 29.4 | 10.3 | 7.4  | 12.3 | 1.0 | N/A | 1.9  | N/A | N/A | 1.0 | 2.7 | N/A  | 2.1
Remres        | N/A            | 2022-05-09      | 2022-05-18    | N     | 4806        | N/A           | 0.1       | 30.0 | 27.2 | 10.0 | 5.6  | 19.2 | N/A | 0.8 | 1.3  | N/A | N/A | N/A | 4.7 | N/A  | 1.2
SONAR         | N/A            | 2022-05-06      | 2022-05-12    | N     | 2840        | N/A           | 0.1       | 32.5 | 24.4 | 8.6  | 7.2  | 15.0 | N/A | N/A | 2.0  | 1.6 | 1.6 | N/A | N/A | N/A  | 5.4
MAK           | Self           | 2022-05-05      | 2022-05-14    | N     | 5750        | N/A           | 0.1       | 28.3 | 27.1 | 7.8  | 6.6  | 16.1 | 1.1 | 2.8 | 3.1  | 0.4 | 0.9 | N/A | 1.8 | N/A  | 4.0
PİAR          | N/A            | 2022-05-05      | 2022-05-09    | N     | 2584        | N/A           | 0.1       | 34.3 | 23.3 | 11.8 | 8.2  | 10.9 | 1.2 | N/A | 1.8  | N/A | N/A | 1.1 | 3.0 | N/A  | 4.4
ASAL          | N/A            | 2022-05-05      | 2022-05-08    | N     | 2400        | N/A           | 0.1       | 35.1 | 25.8 | 10.4 | 9.0  | 12.3 | 1.0 | 0.7 | 1.8  | N/A | N/A | N/A | N/A | N/A  | 3.9
ORC           | N/A            | 2022-05-05      | 2022-05-08    | N     | 5300        | N/A           | 0.1       | 28.0 | 24.1 | 8.7  | 7.2  | 18.4 | 1.6 | 2.1 | 2.0  | 1.1 | 1.4 | N/A | N/A | N/A  | 5.4
Saros         | N/A            | 2022-05-01      | 2022-05-23    | N     | 2987        | N/A           | 0.1       | 31.9 | 26.8 | 12.8 | 7.7  | 12.2 | 0.7 | 1.4 | 2.8  | N/A | 1.4 | N/A | N/A | N/A  | 2.3
AKAM          | Avr. & 23 Der. | 2022-04-27      | 2022-05-03    | N     | 2460        | N/A           | 0.1       | 29.5 | 30.5 | 9.9  | 5.7  | 12.6 | 0.9 | 1.9 | 4.7  | N/A | N/A | N/A | 2.2 | N/A  | 2.0
ALF           | N/A            | 2022-04-25      | 2022-04-30    | N     | 3200        | N/A           | 0.1       | 29.2 | 25.0 | 9.1  | 7.4  | 16.1 | 1.7 | 2.0 | 2.1  | 1.1 | 1.3 | N/A | 0.7 | N/A  | 4.3
Artıbir       | N/A            | 2022-04-21      | 2022-04-30    | N     | 1500        | N/A           | 0.1       | 29.7 | 27.2 | 12.6 | 6.2  | 14.2 | 1.8 | 2.3 | 4.6  | 0.4 | 0.7 | N/A | 0.3 | N/A  | 0.4
AREA          | N/A            | 2022-04-20      | 2022-04-25    | N     | 2450        | N/A           | 0.1       | 30.0 | 27.0 | 10.5 | 8.1  | 16.0 | 0.7 | 0.5 | 2.2  | 0.3 | 0.6 | 1.2 | 0.4 | N/A  | 2.4
ORC           | N/A            | 2022-04-17      | 2022-04-22    | N     | 4385        | N/A           | 0.1       | 28.1 | 24.3 | 8.5  | 7.8  | 17.3 | 1.6 | 2.3 | 2.1  | 0.9 | 1.3 | N/A | 0.8 | N/A  | 5.0
MetroPOLL     | N/A            | 2022-04-14      | 2022-04-20    | N     | 2164        | N/A           | 0.1       | 32.1 | 22.6 | 11.7 | 7.8  | 18.3 | 1.4 | 0.6 | 2.0  | N/A | 1.3 | N/A | 0.6 | N/A  | 1.4
ASAL          | N/A            | 2022-04-08      | 2022-04-10    | N     | 2100        | N/A           | 0.1       | 35.9 | 25.1 | 10.5 | 9.1  | 11.8 | 1.3 | 1.0 | 1.9  | N/A | 1.4 | N/A | N/A | N/A  | 2.0
İEA           | Self           | 2022-04-04      | 2022-04-07    | N     | 1500        | N/A           | 0.1       | 32.3 | 25.9 | 11.6 | 6.7  | 16.8 | 1.2 | 0.5 | 1.7  | N/A | N/A | N/A | N/A | N/A  | 2.9
MAK           | Self           | 2022-04-01      | 2022-04-20    | N     | 5750        | N/A           | 0.1       | 29.3 | 27.1 | 8.4  | 7.1  | 15.1 | 1.3 | 2.8 | 3.2  | N/A | N/A | N/A | N/A | N/A  | 5.7
Aksoy         | Self           | 2022-04-01      | 2022-04-19    | N     | 1067        | N/A           | 0.1       | 30.4 | 28.9 | 10.4 | 7.3  | 13.3 | 1.1 | 1.4 | 2.7  | N/A | N/A | N/A | N/A | N/A  | 4.4
S. Politik    | N/A            | 2022-04-01      | 2022-04-04    | N     | 2010        | N/A           | 0.1       | 33.4 | 30.2 | 11.2 | 7.1  | 12.4 | 0.6 | 1.4 | 3.8  | N/A | N/A | N/A | N/A | N/A  | 0.0
PİAR          | N/A            | 2022-04-01      | 2022-04-04    | N     | 2584        | N/A           | 0.1       | 34.0 | 24.5 | 11.9 | 9.0  | 10.3 | 1.6 | N/A | 2.3  | N/A | N/A | 1.1 | 1.5 | N/A  | 3.8
Yöneylem      | Self           | 2022-04-01      | 2022-04-03    | N     | 2400        | N/A           | 0.1       | 31.2 | 28.6 | 10.0 | 7.8  | 14.5 | 0.7 | 0.5 | 2.6  | N/A | 1.8 | 1.3 | N/A | N/A  | 1.0
ORC           | N/A            | 2022-03-31      | 2022-04-03    | N     | 3540        | N/A           | 0.1       | 28.4 | 23.2 | 9.1  | 8.2  | 17.0 | 1.5 | 3.2 | 2.7  | 1.0 | 1.2 | N/A | N/A | N/A  | 4.5
AKAM          | Avr. & 23 Der. | 2022-03-24      | 2022-03-29    | N     | 2460        | N/A           | 0.1       | 30.8 | 31.5 | 10.1 | 5.7  | 12.6 | 0.8 | 0.8 | 3.5  | 0.7 | 0.9 | 0.8 | 0.8 | N/A  | 1.0
AREA          | N/A            | 2022-03-21      | 2022-03-23    | N     | 2500        | N/A           | 0.1       | 31.1 | 27.3 | 10.3 | 8.3  | 16.0 | 1.0 | 1.0 | 3.1  | N/A | N/A | N/A | N/A | N/A  | 1.9
Artıbir       | N/A            | 2022-03-20      | 2022-03-28    | N     | 1500        | N/A           | 0.1       | 29.5 | 27.4 | 13.2 | 6.7  | 14.2 | 1.6 | 2.1 | 4.3  | N/A | N/A | N/A | N/A | N/A  | 1.0
ASAL          | N/A            | 2022-03-15      | 2022-03-18    | N     | 1580        | N/A           | 0.1       | 34.5 | 26.1 | 10.4 | 8.6  | 12.3 | 1.2 | 1.3 | 2.0  | 0.9 | 0.7 | N/A | N/A | N/A  | 2.0
ALF           | N/A            | 2022-03-10      | 2022-03-15    | N     | 3200        | N/A           | 0.1       | 28.7 | 24.2 | 8.4  | 8.1  | 16.1 | 1.6 | 4.1 | 3.6  | N/A | 0.9 | N/A | N/A | N/A  | 4.3
MAK           | Self           | 2022-03-07      | 2022-03-18    | N     | 5750        | N/A           | 0.1       | 30.4 | 26.2 | 8.8  | 7.1  | 14.8 | 1.3 | 2.8 | 3.4  | 0.4 | 0.7 | N/A | N/A | N/A  | 3.5
ORC           | N/A            | 2022-03-06      | 2022-03-13    | N     | 7290        | N/A           | 0.1       | 28.1 | 23.8 | 8.9  | 8.7  | 16.8 | 1.6 | 3.5 | 3.0  | 0.8 | 0.9 | N/A | N/A | N/A  | 3.9
Yöneylem      | Self           | 2022-03-03      | 2022-03-06    | N     | 2488        | N/A           | 0.1       | 32.0 | 30.3 | 9.8  | 6.9  | 12.9 | 1.0 | 0.4 | 2.8  | 0.4 | 1.0 | 1.0 | N/A | N/A  | 1.5
MOTTO & Bulgu | Self           | 2022-03-01      | 2022-03-31    | N     | N/A         | N/A           | 0.1       | 32.4 | 26.2 | 10.6 | 7.4  | 12.8 | 0.7 | 0.5 | 1.8  | N/A | 1.5 | 1.1 | N/A | N/A  | 4.9
MetroPOLL     | N/A            | 2022-03-01      | 2022-03-31    | N     | N/A         | N/A           | 0.1       | 34.3 | 24.1 | 13.0 | 4.9  | 16.1 | 1.4 | 0.7 | 2.2  | 1.2 | N/A | N/A | N/A | N/A  | 2.1
Aksoy         | Self           | 2022-03-01      | 2022-03-31    | N     | N/A         | N/A           | 0.1       | 29.8 | 28.4 | 9.9  | 8.6  | 13.6 | 1.0 | 1.0 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 4.7
AR-G          | N/A            | 2022-03-01      | 2022-03-22    | N     | 1902        | N/A           | 0.1       | 30.1 | 28.3 | 10.1 | 7.6  | 13.9 | 1.5 | 2.1 | 3.9  | 0.7 | N/A | 0.4 | N/A | N/A  | 1.4
İEA           | Self           | 2022-03-01      | 2022-03-12    | N     | ~1500       | N/A           | 0.1       | 31.9 | 25.9 | 11.6 | 7.8  | 15.2 | 1.6 | 1.2 | 2.7  | N/A | 0.7 | N/A | N/A | N/A  | 1.4
PİAR          | N/A            | 2022-02-28      | 2022-03-04    | N     | 2608        | N/A           | 0.1       | 32.7 | 25.7 | 11.8 | 9.3  | 11.2 | 1.5 | 1.4 | 2.9  | N/A | N/A | 0.9 | N/A | N/A  | 2.6
Gezici        | N/A            | 2022-02-26      | 2022-02-28    | N     | 2368        | N/A           | 0.1       | 30.4 | 28.2 | 10.1 | 9.2  | 11.3 | 0.8 | 1.4 | 2.2  | 1.2 | 1.0 | 0.4 | 1.2 | N/A  | 2.6
AKAM          | Avr. & 23 Der. | 2022-02-24      | 2022-03-01    | N     | 2460        | N/A           | 0.1       | 28.1 | 28.4 | 12.6 | 5.5  | 13.0 | 1.6 | 1.9 | 5.4  | 0.6 | N/A | 0.9 | N/A | N/A  | 2.6
AREA          | N/A            | 2022-02-22      | 2022-02-25    | N     | 2460        | N/A           | 0.1       | 33.1 | 28.0 | 10.6 | 8.1  | 14.2 | 0.8 | 0.8 | 3.0  | N/A | N/A | N/A | N/A | N/A  | 1.4
Aksoy         | Self           | 2022-02-21      | 2022-02-27    | N     | N/A         | N/A           | 0.1       | 30.3 | 28.8 | 10.6 | 8.2  | 13.7 | 1.0 | 1.0 | 2.8  | N/A | N/A | N/A | N/A | N/A  | 3.5
MetroPOLL     | N/A            | 2022-02-12      | 2022-02-17    | N     | 1535        | N/A           | 0.1       | 32.9 | 26.7 | 12.6 | 6.4  | 13.0 | 2.4 | N/A | 3.1  | 1.1 | 0.7 | N/A | N/A | N/A  | 1.2
Artıbir       | N/A            | 2022-02-10      | 2022-02-20    | N     | N/A         | N/A           | 0.1       | 29.8 | 27.2 | 13.4 | 6.8  | 14.1 | 1.6 | 1.9 | 4.2  | N/A | N/A | N/A | N/A | N/A  | 1.0
PİAR          | N/A            | 2022-02-09      | 2022-02-13    | N     | 2604        | N/A           | 0.1       | 32.8 | 26.3 | 12.1 | 8.9  | 11.1 | 1.5 | N/A | 3.2  | N/A | N/A | N/A | N/A | N/A  | 4.1
ORC           | N/A            | 2022-02-08      | 2022-02-13    | N     | 5130        | N/A           | 0.1       | 30.0 | 24.1 | 8.1  | 9.4  | 15.1 | 1.5 | 4.2 | 2.6  | 1.0 | 0.9 | N/A | N/A | N/A  | 3.1          
MAK           | Self           | 2022-02-07      | 2022-02-18    | N     | 5750        | N/A           | 0.1       | 31.1 | 25.5 | 9.1  | 7.2  | 14.8 | 1.3 | 2.6 | 3.4  | 0.4 | 0.7 | N/A | N/A | N/A  | 3.9
ASAL          | N/A            | 2022-02-07      | 2022-02-10    | N     | 1502        | N/A           | 0.1       | 32.9 | 26.4 | 10.5 | 8.1  | 12.0 | 1.4 | 1.3 | 2.5  | 1.1 | 0.9 | N/A | N/A | N/A  | 2.9
Yöneylem      | Self           | 2022-02-04      | 2022-02-10    | N     | 2000        | N/A           | 0.1       | 32.9 | 31.8 | 9.7  | 4.8  | 12.8 | 0.7 | 0.7 | 2.3  | 0.6 | 1.5 | 1.1 | N/A | N/A  | 1.1
İEA           | Self           | 2022-02-03      | 2022-02-07    | N     | 1500        | N/A           | 0.1       | 33.1 | 28.2 | 12.2 | 8.4  | 13.8 | 0.6 | 0.7 | 2.1  | N/A | N/A | N/A | N/A | N/A  | 1.0
AR-G          | N/A            | 2022-02-01      | 2022-02-21    | N     | 1787        | N/A           | 0.1       | 30.4 | 28.1 | 10.4 | 7.7  | 13.8 | 1.4 | 2.0 | 3.8  | 0.8 | 0.2 | 0.3 | N/A | N/A  | 1.1
ALF           | N/A            | 2022-02-01      | 2022-02-18    | N     | 7250        | N/A           | 0.1       | 30.2 | 25.1 | 8.7  | 8.5  | 13.8 | 1.6 | 4.0 | 3.4  | 0.8 | 0.7 | N/A | N/A | N/A  | 3.2
AKAM          | Avr. & 23 Der. | 2022-01-24      | 2022-01-31    | N     | 1860        | N/A           | 0.1       | 26.3 | 28.4 | 12.9 | 6.0  | 12.4 | 1.7 | 1.8 | 5.9  | 1.1 | N/A | 0.8 | N/A | N/A  | 3.8
AREA          | N/A            | 2022-01-24      | 2022-01-29    | N     | 2102        | N/A           | 0.1       | 32.0 | 27.1 | 10.2 | 8.2  | 15.4 | N/A | N/A | 3.3  | N/A | N/A | N/A | N/A | N/A  | 3.8
Aksoy         | Self           | 2022-01-17      | 2021-01-23    | N     | 1067        | N/A           | 0.1       | 30.1 | 28.9 | 10.6 | 7.9  | 13.6 | 1.0 | 1.3 | 2.7  | N/A | N/A | N/A | N/A | N/A  | 3.9
ORC           | N/A            | 2022-01-17      | 2022-01-22    | N     | 5420        | N/A           | 0.1       | 29.7 | 24.3 | 8.4  | 9.1  | 14.2 | 1.7 | 3.6 | 2.8  | 1.2 | 1.1 | 0.2 | N/A | N/A  | 3.7
MOTTO & Bulgu | Self           | 2022-01-15      | 2022-01-28    | N     | 1808        | N/A           | 0.1       | 31.8 | 27.0 | 11.1 | 7.3  | 14.7 | 1.5 | 1.9 | 3.6  | N/A | 0.1 | N/A | N/A | N/A  | 1.0
Gezici        | N/A            | 2022-01-15      | 2022-01-20    | N     | 1420        | N/A           | 0.1       | 31.3 | 27.2 | 11.5 | 8.1  | 12.1 | 1.2 | 1.4 | 2.1  | 1.3 | 1.0 | 0.2 | 1.1 | N/A  | 3.8
Artıbir       | N/A            | 2022-01-10      | 2022-01-20    | N     | 1500        | N/A           | 0.1       | 31.2 | 26.8 | 13.5 | 7.1  | 14.2 | 1.6 | 1.7 | 3.9  | N/A | N/A | N/A | N/A | N/A  | 0.0
AKAM          | Avr. & 23 Der. | 2022-01-09      | 2021-01-14    | N     | 1260        | N/A           | 0.1       | 30.6 | 28.6 | 11.0 | 5.8  | 11.3 | 1.1 | 1.5 | 5.6  | 0.9 | N/A | 0.9 | N/A | N/A  | 3.0
MAK           | Self           | 2022-01-08      | 2022-01-17    | N     | 5750        | N/A           | 0.1       | 31.9 | 24.4 | 9.3  | 7.2  | 15.1 | 1.3 | 2.6 | 3.4  | 0.5 | 0.7 | N/A | N/A | N/A  | 3.6
MetroPOLL     | N/A            | 2022-01-08      | 2022-01-12    | N     | 1508        | N/A           | 0.1       | 34.0 | 28.4 | 11.6 | 5.9  | 13.3 | N/A | N/A | 2.6  | N/A | N/A | N/A | N/A | N/A  | 4.3
İEA           | Self           | 2022-01-07      | 2022-01-13    | N     | 1500        | N/A           | 0.1       | 32.5 | 25.7 | 9.6  | 8.5  | 15.2 | 1.1 | 1.6 | 2.7  | 0.5 | N/A | 0.7 | M/A | N/A  | 2.0
ORC           | N/A            | 2022-01-04      | 2022-01-08    | N     | 7100        | N/A           | 0.1       | 30.2 | 24.2 | 8.4  | 8.5  | 15.3 | 1.6 | 3.1 | 2.9  | 1.3 | 0.8 | N/A | N/A | N/A  | 3.7
Yöneylem      | Self           | 2022-01-03      | 2022-01-07    | N     | 2002        | N/A           | 0.1       | 32.3 | 31.5 | 9.2  | 6.1  | 12.6 | 1.2 | 0.3 | 1.9  | N/A | 1.7 | 1.1 | N/A | N/A  | 2.1
AR-G          | N/A            | 2022-01-01      | 2022-01-25    | N     | 1412        | N/A           | 0.1       | 31.5 | 26.2 | 10.8 | 8.1  | 13.9 | 1.3 | 1.9 | 3.6  | 1.0 | N/A | N/A | N/A | N/A  | 1.7
TEAM          | N/A            | 2022-01-01      | 2022-01-16    | N     | 1594        | N/A           | 0.1       | 38.2 | 26.4 | 11.8 | 7.6  | 12.0 | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 4.1
S. Politik    | N/A            | 2021-12-28      | 2022-01-02    | N     | 1876        | N/A           | 0.1       | 32.8 | 27.8 | 11.5 | 7.6  | 12.5 | 0.8 | 2.5 | 3.5  | N/A | N/A | N/A | N/A | N/A  | 0.8
ORC           | N/A            | 2021-12-24      | 2021-12-27    | N     | 3675        | N/A           | 0.1       | 30.8 | 25.1 | 8.3  | 8.6  | 15.5 | 1.5 | 3.2 | 3.0  | 1.2 | N/A | N/A | N/A | N/A  | 2.8
AKAM          | Avr. & 23 Der. | 2021-12-23      | 2021-12-27    | N     | 2460        | N/A           | 0.1       | 29.0 | 28.1 | 11.5 | 6.8  | 12.5 | 1.6 | 2.0 | 6.1  | N/A | N/A | N/A | N/A | N/A  | 2.4
Aksoy         | Tele1          | 2021-12-22      | 2021-12-22    | N     | 1067        | N/A           | 0.1       | 31.2 | 28.7 | 9.9  | 8.7  | 13.0 | 1.2 | 0.9 | 2.4  | N/A | N/A | N/A | N/A | N/A  | 4.0
MAK           | Self           | 2021-12-20      | 2021-12-27    | N     | 5750        | N/A           | 0.1       | 32.7 | 23.3 | 9.1  | 7.4  | 14.7 | 1.4 | 2.8 | 3.3  | 0.6 | 0.7 | N/A | N/A | N/A  | 3.3
AKAM          | Avr. & 23 Der. | 2021-12-14      | 2021-12-15    | N     | 1260        | N/A           | 0.1       | 28.4 | 29.4 | 11.0 | 6.8  | 12.6 | 1.4 | 2.4 | 5.8  | N/A | N/A | N/A | N/A | N/A  | 2.2
AREA          | N/A            | 2021-12-13      | 2021-12-20    | N     | 2204        | N/A           | 0.1       | 30.5 | 27.2 | 10.0 | 9.0  | 15.8 | N/A | N/A | 4.0  | N/A | N/A | N/A | N/A | N/A  | 3.5
MetroPOLL     | N/A            | 2021-12-11      | 2021-12-15    | N     | 1514        | N/A           | 0.1       | 32.3 | 27.4 | 11.9 | 5.3  | 14.2 | 1.5 | 1.1 | 2.6  | 1.6 | N/A | N/A | N/A | N/A  | 2.3
ORC           | N/A            | 2021-12-03      | 2021-12-09    | N     | 3920        | N/A           | 0.1       | 30.3 | 25.5 | 8.1  | 8.8  | 15.9 | 1.4 | 3.0 | 3.3  | 1.0 | N/A | N/A | N/A | N/A  | 2.7
İEA           | Self           | 2021-12-01      | 2021-12-31    | N     | ~1500       | N/A           | 0.1       | 32.1 | 24.6 | 10.8 | 8.3  | 16.4 | 1.0 | 1.3 | 2.5  | 0.7 | N/A | N/A | N/A | N/A  | 2.3
İEA           | N/A            | 2021-12-01      | 2021-12-30    | N     | N/A         | N/A           | 0.1       | 30.5 | 27.9 | 11.0 | 7.0  | 15.5 | 1.5 | 1.0 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 2.1
AKAM          | Avr. & 23 Der. | 2021-11-27      | 2021-12-03    | N     | 1260        | N/A           | 0.1       | 27.6 | 30.4 | 11.0 | 6.5  | 12.9 | 1.3 | 2.6 | 6.0  | N/A | N/A | N/A | N/A | N/A  | 1.7
AREA          | N/A            | 2021-11-26      | 2021-11-30    | N     | 1514        | N/A           | 0.1       | 30.0 | 28.2 | 10.0 | 9.1  | 14.0 | N/A | N/A | 4.4  | N/A | N/A | N/A | N/A | N/A  | 4.4
MAK           | Self           | 2021-11-12      | 2021-11-18    | N     | 5750        | N/A           | 0.1       | 31.4 | 24.5 | 9.6  | 8.0  | 14.9 | 1.4 | 2.6 | 2.6  | 0.8 | 0.9 | N/A | N/A | N/A  | 3.3
AKAM          | Avr. & 23 Der. | 2021-11-11      | 2021-11-17    | N     | 1260        | N/A           | 0.1       | 28.4 | 30.1 | 10.3 | 7.3  | 11.9 | 1.2 | 2.6 | 5.9  | 0.5 | N/A | 0.7 | N/A | N/A  | 1.1
İEA           | Self           | 2021-11-03      | 2021-11-06    | N     | 1510        | N/A           | 0.1       | 29.9 | 26.6 | 12.2 | 7.5  | 16.7 | 1.1 | 1.2 | 2.4  | N/A | N/A | N/A | N/A | N/A  | 2.4
TEAM          | N/A            | 2021-11-01      | 2021-11-30    | N     | 2986        | N/A           | 0.1       | 34.6 | 28.2 | 11.1 | 9.3  | 12.0 | N/A | 0.9 | 1.6  | N/A | N/A | N/A | N/A | N/A  | 2.3
MetroPOLL     | N/A            | 2021-11-01      | 2021-11-30    | N     | N/A         | N/A           | 0.1       | 34.3 | 22.6 | 12.8 | 6.6  | 14.9 | 1.5 | N/A | 2.9  | 2.0 | N/A | N/A | N/A | N/A  | 2.5
Aksoy         | N/A            | 2021-11-01      | 2021-11-30    | N     | 1067        | N/A           | 0.1       | 30.8 | 28.9 | 9.8  | 8.4  | 13.8 | 1.2 | 1.1 | 2.5  | N/A | N/A | N/A | N/A | N/A  | 3.6
PİAR          | N/A            | 2021-11-01      | 2021-11-13    | N     | 2520        | N/A           | 0.1       | 30.6 | 26.6 | 11.5 | 8.7  | 12.4 | 1.3 | N/A | 6.0  | N/A | N/A | N/A | N/A | N/A  | 2.9
AREA          | N/A            | 2021-10-28      | 2021-10-31    | N     | 1580        | N/A           | 0.1       | 34.7 | 27.7 | 8.8  | 8.7  | 12.7 | N/A | N/A | 3.1  | N/A | N/A | N/A | N/A | N/A  | 4.2
Yöneylem      | Self           | 2021-10-27      | 2021-11-03    | N     | 2000        | N/A           | 0.1       | 32.4 | 30.9 | 10.8 | 6.5  | 13.3 | 0.8 | 0.7 | 1.2  | N/A | 1.1 | 0.7 | N/A | N/A  | 3.3
ORC           | N/A            | 2021-10-24      | 2021-10-27    | N     | 2850        | N/A           | 0.1       | 31.3 | 26.0 | 8.0  | 9.8  | 14.1 | 1.1 | 2.4 | 5.1  | N/A | N/A | N/A | N/A | N/A  | 2.2
AKAM          | Avr. & 23 Der. | 2021-10-23      | 2021-10-28    | N     | 2460        | N/A           | 0.1       | 28.6 | 28.5 | 10.0 | 7.0  | 13.2 | 1.3 | 3.0 | 5.7  | 0.5 | N/A | 1.0 | N/A | N/A  | 1.2
MetroPOLL     | N/A            | 2021-10-13      | 2021-10-17    | N     | 1568        | N/A           | 0.1       | 32.6 | 25.2 | 11.8 | 7.4  | 14.3 | 1.7 | N/A | 2.7  | 1.6 | N/A | N/A | N/A | N/A  | 2.9
MAK           | Self           | 2021-10-11      | 2021-10-21    | N     | 5750        | N/A           | 0.1       | 32.0 | 23.5 | 9.0  | 8.0  | 14.7 | 1.4 | 2.6 | 2.7  | 1.0 | N/A | N/A | N/A | N/A  | 5.1
AKAM          | Avr. & 23 Der. | 2021-10-09      | 2021-10-14    | N     | ~1500       | N/A           | 0.1       | 28.9 | 28.7 | 10.6 | 6.6  | 13.5 | 1.3 | 2.7 | 5.5  | N/A | N/A | N/A | N/A | N/A  | 2.2
Aksoy         | N/A            | 2021-10-04      | 2021-10-10    | N     | 1067        | N/A           | 0.1       | 30.8 | 28.2 | 10.0 | 8.6  | 13.8 | 0.6 | 1.1 | 2.9  | N/A | N/A | N/A | N/A | N/A  | 4.0
Aksoy         | N/A            | 2021-10-01      | 2021-10-30    | N     | 1067        | N/A           | 0.1       | 30.7 | 28.3 | 9.7  | 8.7  | 14.1 | 0.8 | 1.1 | 2.6  | N/A | N/A | N/A | N/A | N/A  | 4.0
MOTTO & Bulgu | Self           | 2021-10-01      | 2021-10-27    | N     | 1808        | N/A           | 0.1       | 32.4 | 27.9 | 8.3  | 8.4  | 13.8 | 1.4 | 1.4 | 2.8  | 0.5 | 1.6 | N/A | 0.2 | N/A  | 1.3
Artıbir       | N/A            | 2021-10-01      | 2021-10-27    | N     | 1500        | N/A           | 0.1       | 30.5 | 27.3 | 11.4 | 7.3  | 15.6 | 1.4 | 1.9 | 3.7  | N/A | N/A | N/A | N/A | N/A  | 0.8
İEA           | Self           | 2021-10-01      | 2021-10-22    | N     | 1500        | N/A           | 0.1       | 32.7 | 24.3 | 12.5 | 7.4  | 16.4 | 1.1 | 1.7 | 2.6  | N/A | N/A | N/A | N/A | N/A  | 1.4
ORC           | N/A            | 2021-10-01      | 2021-10-05    | N     | N/A         | N/A           | 0.1       | 31.9 | 25.9 | 8.1  | 9.4  | 13.1 | N/A | 2.9 | 4.7  | N/A | N/A | N/A | N/A | N/A  | 4.0
AREA          | N/A            | 2021-09-27      | 2021-09-30    | N     | 2474        | N/A           | 0.1       | 32.0 | 24.1 | 11.1 | 10.1 | 13.0 | 2.1 | 2.1 | 2.2  | 1.2 | N/A | N/A | N/A | N/A  | 2.1
Yöneylem      | Self           | 2021-09-24      | 2021-09-30    | N     | 2400        | N/A           | 0.1       | 33.7 | 26.5 | 10.2 | 8.8  | 13.7 | 1.4 | 0.6 | 1.7  | N/A | 1.3 | 1.0 | N/A | N/A  | 1.7
MetroPOLL     | N/A            | 2021-09-20      | 2021-09-26    | N     | 1638        | N/A           | 0.1       | 31.7 | 25.8 | 11.0 | 10.0 | 14.3 | N/A | N/A | 2.6  | 1.7 | N/A | N/A | N/A | N/A  | 3.0
Artıbir       | N/A            | 2021-09-17      | 2021-09-27    | N     | 1500        | N/A           | 0.1       | 30.7 | 26.8 | 11.6 | 7.4  | 15.4 | 1.5 | 1.8 | 3.9  | N/A | N/A | N/A | N/A | N/A  | 0.9
S. Politik    | N/A            | 2021-09-10      | 2021-09-22    | N     | 2000        | N/A           | 0.1       | 32.3 | 30.9 | 11.3 | 7.8  | 12.1 | 0.8 | 1.1 | 1.8  | N/A | N/A | N/A | N/A | N/A  | 1.9
İEA           | Self           | 2021-09-07      | 2021-09-13    | N     | 1500        | N/A           | 0.1       | 29.9 | 25.7 | 11.7 | 9.4  | 15.3 | 1.1 | 1.9 | 2.7  | N/A | N/A | N/A | N/A | N/A  | 2.2
KONDA         | N/A            | 2021-09-01      | 2021-09-30    | N     | N/A         | N/A           | 0.1       | 32.7 | 24.8 | 11.7 | 8.9  | 19.3 | N/A | N/A | N/A  | N/A | N/A | N/A | N/A | N/A  | 2.6
AKAM          | Avr. & 23 Der. | 2021-09-01      | 2021-09-30    | N     | 2460        | N/A           | 0.1       | 28.2 | 27.3 | 10.3 | 7.1  | 13.9 | 1.2 | 2.5 | 5.3  | 1.0 | N/A | 1.1 | N/A | N/A  | 2.1
MAK           | Self           | 2021-09-01      | 2021-09-27    | N     | 5700        | N/A           | 0.1       | 33.7 | 23.7 | 7.9  | 7.7  | 14.5 | 1.4 | 2.8 | 2.8  | 0.8 | 0.9 | N/A | N/A | N/A  | 3.6
PİAR          | N/A            | 2021-09-01      | 2021-09-24    | N     | 2405        | N/A           | 0.1       | 33.2 | 23.7 | 10.9 | 9.4  | 14.1 | 1.1 | N/A | 4.4  | N/A | N/A | N/A | N/A | N/A  | 3.2
