Polling firm             | Commissioners     | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP   | PSOE | UP   | Cs   | ERC | PDeCAT | PNV | PACMA | EH Bildu | CC  | Vox  | Cmp | BNG | CEUS | AR  | CpE | Other
Simple Lógica            | N/A               | 2021-02-01      | 2021-02-05    | NE    | 1054        | 62.0          | 0.1       | 18.8 | 28.8 | 10.3 | 9.2  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.9 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-01-22      | 2021-01-29    | NE    | 1493        | N/A           | 0.1       | 23.4 | 27.0 | 11.0 | 7.3  | 3.4 | 2.3    | 1.5 | N/A   | 1.3      | 0.5 | 15.4 | 1.8 | 0.7 | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2021-01-07      | 2021-01-25    | NE    | 3862        | N/A           | 0.1       | 20.5 | 30.7 | 10.7 | 9.3  | 2.9 | 1.5    | 1.6 | N/A   | 0.9      | 0.5 | 13.0 | 1.5 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-01-18      | 2021-01-22    | NE    | 1470        | N/A           | 0.1       | 23.2 | 27.1 | 11.0 | 7.3  | 3.4 | 2.3    | 1.5 | N/A   | 1.3      | 0.5 | 15.6 | 1.7 | 0.7 | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2021-01-18      | 2021-01-22    | NE    | (1000)      | N/A           | 0.1       | 23.2 | 27.0 | 10.2 | 7.0  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.9 | N/A | N/A | N/A  | N/A | N/A | N/A
Celeste-Tel              | Onda Cero         | 2021-01-11      | 2021-01-15    | NE    | 1100        | 64.7          | 0.1       | 23.7 | 27.0 | 11.8 | 6.7  | 3.9 | 2.2    | 1.6 | N/A   | 1.2      | 0.5 | 14.8 | 2.5 | 0.9 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-01-11      | 2021-01-15    | NE    | 1382        | N/A           | 0.1       | 23.1 | 27.2 | 11.1 | 7.1  | 3.3 | 2.3    | 1.5 | N/A   | 1.3      | 0.5 | 15.8 | 1.7 | 0.7 | N/A  | N/A | N/A | N/A
Hamalgama Métrica        | OKDiario          | 2021-01-12      | 2021-01-14    | NE    | 1000        | N/A           | 0.1       | 24.4 | 26.4 | 12.5 | 5.2  | 3.8 | N/A    | N/A | N/A   | N/A      | N/A | 15.6 | N/A | N/A | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2021-01-04      | 2021-01-13    | NE    | 1045        | N/A           | 0.1       | 21.1 | 26.3 | 10.7 | 8.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.2 | N/A | N/A | N/A  | N/A | N/A | N/A
SyM Consulting           | N/A               | 2021-01-07      | 2021-01-10    | NE    | 2915        | 70.0          | 0.1       | 24.6 | 26.7 | 9.6  | 6.6  | 3.7 | 2.0    | 1.6 | N/A   | 1.1      | N/A | 14.2 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2021-01-03      | 2021-01-09    | NE    | 1562        | N/A           | 0.1       | 22.8 | 27.2 | 11.2 | 6.9  | 3.3 | 2.4    | 1.5 | N/A   | 1.3      | 0.5 | 16.1 | 1.7 | 0.6 | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2020-12-28      | 2021-01-05    | NE    | 1206        | N/A           | 0.1       | 22.9 | 26.7 | 10.5 | 6.7  | 3.4 | 2.7    | 1.8 | N/A   | 1.3      | 0.8 | 16.7 | 2.5 | 0.6 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-12-28      | 2021-01-02    | NE    | 1321        | N/A           | 0.1       | 23.0 | 27.3 | 11.2 | 6.8  | 3.3 | 2.4    | 1.5 | N/A   | 1.3      | 0.5 | 16.0 | 1.7 | 0.6 | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-12-18      | 2020-12-30    | NE    | 1000        | 62.8          | 0.1       | 24.3 | 26.2 | 11.7 | 6.7  | 3.5 | 2.3    | 1.5 | N/A   | 1.2      | 0.4 | 15.2 | 2.2 | 1.0 | N/A  | N/A | N/A | N/A
Sigma Dos                | El Mundo          | 2020-12-22      | 2020-12-29    | NE    | 1144        | N/A           | 0.1       | 25.2 | 27.9 | 10.8 | 7.6  | 3.3 | 2.1    | 1.9 | N/A   | N/A      | N/A | 13.5 | 1.0 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-12-21      | 2020-12-25    | NE    | 1413        | N/A           | 0.1       | 22.7 | 27.4 | 11.3 | 6.7  | 3.3 | 2.4    | 1.5 | N/A   | 1.3      | 0.5 | 16.3 | 1.7 | 0.6 | N/A  | N/A | N/A | N/A
Key Data                 | Público           | 2020-12-24      | 2020-12-24    | NE    | (500)       | 67.3          | 0.1       | 22.8 | 27.0 | 11.1 | 7.5  | 3.5 | 2.2    | 1.6 | N/A   | 1.1      | 0.5 | 15.6 | 2.3 | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-12-14      | 2020-12-18    | NE    | (1000)      | N/A           | 0.1       | 23.0 | 27.4 | 10.2 | 7.7  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.1 | N/A | N/A | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2020-12-15      | 2020-12-17    | NE    | 1000        | N/A           | 0.1       | 22.9 | 24.0 | 10.4 | 8.2  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 17.4 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-12-15      | 2020-12-17    | NE    | 1413        | N/A           | 0.1       | 22.3 | 27.3 | 11.4 | 6.5  | 3.4 | 2.5    | 1.6 | N/A   | 1.3      | 0.5 | 16.6 | 1.6 | 0.7 | N/A  | N/A | N/A | N/A
Celeste-Tel              | Onda Cero         | 2020-12-09      | 2020-12-15    | NE    | 1100        | 64.5          | 0.1       | 23.3 | 27.1 | 12.0 | 6.5  | 3.8 | 2.2    | 1.6 | N/A   | 1.1      | 0.5 | 14.9 | 2.7 | 0.9 | N/A  | N/A | N/A | N/A
GAD3                     | COPE              | 2020-11-30      | 2020-12-14    | NE    | 2005        | 64            | 0.1       | 25.6 | 28.0 | 9.5  | 7.1  | 3.4 | 1.8    | 1.7 | N/A   | 1.5      | 0.6 | 13.1 | 1.4 | 1.0 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-12-07      | 2020-12-11    | NE    | 1532        | N/A           | 0.1       | 21.8 | 27.5 | 11.6 | 6.3  | 3.4 | 2.6    | 1.6 | N/A   | 1.3      | 0.5 | 17.0 | 1.5 | 0.7 | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2020-12-01      | 2020-12-09    | NE    | 3817        | N/A           | 0.1       | 19.2 | 29.5 | 10.8 | 10.5 | 2.9 | 1.7    | 1.4 | N/A   | 1.2      | 0.5 | 14.0 | 2.4 | 0.5 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-11-30      | 2020-12-09    | NE    | 1065        | N/A           | 0.1       | 19.9 | 27.9 | 11.6 | 7.7  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.2 | N/A | N/A | N/A  | N/A | N/A | N/A
Sigma Dos                | Antena 3          | 2020-12-07      | 2020-12-07    | NE    | (1000)      | N/A           | 0.1       | 25.5 | 28.5 | 12.1 | 7.0  | 3.3 | 2.1    | 1.9 | N/A   | N/A      | N/A | 13.4 | 0.8 | N/A | N/A  | N/A | N/A | N/A
Hamalgama Métrica        | OKDiario          | 2020-12-02      | 2020-12-05    | NE    | 1000        | N/A           | 0.1       | 23.8 | 26.2 | 13.0 | 5.3  | 3.7 | N/A    | N/A | N/A   | N/A      | N/A | 15.9 | N/A | N/A | N/A  | N/A | N/A | N/A
SW Demoscopia            | infoLibre         | 2020-11-26      | 2020-12-05    | NE    | 1237        | N/A           | 0.1       | 20.7 | 28.4 | 11.1 | 8.4  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 17.2 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-12-02      | 2020-12-05    | NE    | 1670        | N/A           | 0.1       | 21.6 | 27.2 | 11.9 | 6.4  | 3.3 | 2.6    | 1.6 | N/A   | 1.3      | 0.5 | 17.2 | 1.5 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-11-22      | 2020-11-27    | NE    | 1310        | N/A           | 0.1       | 21.4 | 27.2 | 11.8 | 6.6  | 3.3 | 2.5    | 1.6 | N/A   | 1.3      | 0.5 | 17.4 | 1.5 | 0.7 | N/A  | N/A | N/A | N/A
Key Data                 | Público           | 2020-11-24      | 2020-11-24    | NE    | (500)       | 66.9          | 0.1       | 22.4 | 27.3 | 10.8 | 6.9  | 3.6 | 2.2    | 1.7 | N/A   | 1.1      | 0.4 | 15.9 | 2.4 | N/A | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2020-11-18      | 2020-11-20    | NE    | 1001        | N/A           | 0.1       | 23.5 | 23.6 | 9.8  | 8.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 17.2 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-11-16      | 2020-11-20    | NE    | 2398        | N/A           | 0.1       | 21.1 | 27.2 | 11.7 | 6.4  | 3.4 | 2.7    | 1.5 | N/A   | 1.3      | 0.5 | 17.0 | 2.5 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-11-10      | 2020-11-13    | NE    | 1290        | N/A           | 0.1       | 20.8 | 26.7 | 11.5 | 6.9  | 3.3 | 2.7    | 1.5 | N/A   | 1.3      | 0.5 | 17.4 | 2.5 | 0.7 | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2020-11-03      | 2020-11-12    | NE    | 3853        | N/A           | 0.1       | 18.6 | 30.4 | 11.4 | 9.5  | 3.2 | 1.7    | 1.5 | N/A   | 0.7      | 0.4 | 13.2 | 1.8 | 0.6 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-11-04      | 2020-11-11    | NE    | 1036        | 63.4          | 0.1       | 20.5 | 29.2 | 11.5 | 5.1  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.7 | N/A | N/A | N/A  | N/A | N/A | N/A
Celeste-Tel              | Onda Cero         | 2020-11-04      | 2020-11-09    | NE    | 1100        | 64.2          | 0.1       | 22.5 | 27.7 | 11.8 | 6.7  | 3.8 | 2.1    | 1.5 | N/A   | 1.2      | 0.5 | 15.3 | 2.5 | 0.9 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-11-06      | 2020-11-07    | NE    | 1263        | N/A           | 0.1       | 20.6 | 26.8 | 11.5 | 7.1  | 3.3 | 2.7    | 1.5 | N/A   | 1.3      | 0.5 | 17.5 | 2.4 | 0.7 | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-10-30      | 2020-11-07    | NE    | 1000        | 63.1          | 0.1       | 23.2 | 26.8 | 11.5 | 7.2  | 3.5 | 2.5    | 1.5 | N/A   | 1.3      | 0.4 | 15.9 | 2.1 | 0.8 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-10-30      | 2020-10-31    | NE    | 1730        | N/A           | 0.1       | 20.0 | 26.9 | 11.6 | 7.4  | 3.3 | 2.7    | 1.4 | N/A   | 1.3      | 0.5 | 17.6 | 2.3 | 0.7 | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-10-26      | 2020-10-30    | NE    | (1000)      | N/A           | 0.1       | 23.2 | 28.5 | 11.0 | 7.3  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.7 | N/A | N/A | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2020-10-22      | 2020-10-23    | NE    | 1006        | N/A           | 0.1       | 24.5 | 25.0 | 10.3 | 7.8  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 16.6 | N/A | N/A | N/A  | N/A | N/A | N/A
Sigma Dos                | El Mundo          | 2020-10-22      | 2020-10-23    | NE    | 1000        | N/A           | 0.1       | 24.0 | 29.3 | 11.8 | 6.8  | 3.0 | 2.0    | 1.9 | N/A   | N/A      | N/A | 14.9 | 1.0 | N/A | N/A  | N/A | N/A | N/A
Hamalgama Métrica        | OKDiario          | 2020-10-21      | 2020-10-23    | NE    | 1000        | N/A           | 0.1       | 23.1 | 26.9 | 12.6 | 6.1  | 3.6 | N/A    | N/A | N/A   | N/A      | N/A | 15.7 | N/A | N/A | N/A  | N/A | N/A | N/A
Key Data                 | Público           | 2020-10-20      | 2020-10-20    | NE    | (500)       | 66.6          | 0.1       | 22.4 | 27.4 | 11.5 | 6.9  | 3.5 | 2.3    | 1.6 | N/A   | 1.1      | 0.5 | 15.5 | 1.9 | N/A | N/A  | N/A | N/A | N/A
Sigma Dos                | El Mundo          | 2020-10-24      | 2020-10-24    | NE    | (1000)      | N/A           | 0.1       | 24.0 | 29.3 | 11.8 | 6.8  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.9 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-10-19      | 2020-10-22    | NE    | 4772        | N/A           | 0.1       | 20.2 | 27.0 | 11.6 | 7.5  | 3.3 | 2.6    | 1.4 | N/A   | 1.3      | 0.5 | 17.4 | 2.3 | 0.6 | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2020-10-15      | 2020-10-17    | NE    | 2103        | N/A           | 0.1       | 22.8 | 26.6 | 10.5 | 7.1  | 3.2 | 3.0    | 1.8 | N/A   | 1.3      | 0.4 | 16.3 | 2.5 | 0.7 | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-10-13      | 2020-10-17    | NE    | 1000        | 62.6          | 0.1       | 23.6 | 27.0 | 11.4 | 6.3  | 3.4 | 2.6    | 1.5 | N/A   | 1.2      | N/A | 15.6 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-10-12      | 2020-10-16    | NE    | 1450        | N/A           | 0.1       | 20.4 | 27.0 | 11.6 | 7.7  | 3.3 | 2.7    | 1.5 | N/A   | 1.3      | 0.5 | 17.0 | 2.3 | 0.7 | N/A  | N/A | N/A | N/A
GIPEyOP                  | N/A               | 2020-09-23      | 2020-10-14    | NE    | 1955        | 59.4          | 0.1       | 17.4 | 21.0 | 14.7 | 5.5  | 3.7 | 3.1    | 1.8 | N/A   | 1.6      | 0.5 | 19.7 | 4.1 | 1.1 | N/A  | N/A | N/A | N/A
Sigma Dos                | Antena 3          | 2020-10-10      | 2020-10-10    | NE    | (1000)      | N/A           | 0.1       | 24.1 | 28.1 | 12.4 | 7.2  | 3.2 | 1.7    | 1.9 | N/A   | N/A      | N/A | 14.0 | 0.9 | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-10-05      | 2020-10-09    | NE    | (1000)      | N/A           | 0.1       | 22.7 | 28.8 | 11.1 | 7.4  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.1 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-10-05      | 2020-10-09    | NE    | 1265        | N/A           | 0.1       | 20.7 | 27.1 | 11.5 | 7.9  | 3.3 | 2.7    | 1.4 | N/A   | 1.2      | 0.5 | 16.7 | 2.2 | 0.6 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-10-01      | 2020-10-09    | NE    | 1060        | 63.6          | 0.1       | 19.5 | 27.2 | 11.0 | 7.5  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 17.1 | N/A | N/A | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2020-10-01      | 2020-10-07    | NE    | 2924        | N/A           | 0.1       | 18.9 | 30.8 | 11.7 | 8.8  | 3.3 | 1.8    | 1.3 | N/A   | 1.1      | 0.2 | 12.5 | 1.8 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-10-01      | 2020-10-03    | NE    | 1265        | N/A           | 0.1       | 20.7 | 27.1 | 11.4 | 8.3  | 3.4 | 2.6    | 1.4 | N/A   | 1.2      | 0.5 | 16.4 | 2.2 | 0.6 | N/A  | N/A | N/A | N/A
GAD3                     | ABC               | 2020-09-28      | 2020-10-02    | NE    | 960         | N/A           | 0.1       | 23.8 | 27.3 | 11.3 | 5.8  | 3.5 | 1.9    | 1.9 | N/A   | 1.2      | 0.4 | 14.6 | 1.5 | 0.8 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-09-22      | 2020-09-25    | NE    | 1410        | N/A           | 0.1       | 20.2 | 27.4 | 10.9 | 8.4  | 3.4 | 2.7    | 1.4 | N/A   | 1.2      | 0.5 | 16.9 | 2.3 | 0.6 | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-09-21      | 2020-09-25    | NE    | (1000)      | N/A           | 0.1       | 21.8 | 29.1 | 11.6 | 7.7  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.6 | N/A | N/A | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2020-09-16      | 2020-09-20    | NE    | 1008        | N/A           | 0.1       | 24.0 | 25.8 | 10.8 | 8.8  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 13.7 | N/A | N/A | N/A  | N/A | N/A | N/A
Demoscopia y Servicios   | ESdiario          | 2020-09-17      | 2020-09-19    | NE    | 1000        | N/A           | 0.1       | 23.5 | 25.7 | 13.2 | 6.5  | 3.1 | 2.7    | 1.5 | N/A   | 1.4      | 0.4 | 15.3 | 1.6 | 0.6 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-09-16      | 2020-09-19    | NE    | 1632        | N/A           | 0.1       | 20.1 | 27.3 | 11.1 | 8.7  | 3.4 | 2.6    | 1.5 | N/A   | 1.2      | 0.5 | 16.6 | 2.2 | 0.7 | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-09-15      | 2020-09-19    | NE    | 1000        | 62.4          | 0.1       | 24.1 | 26.8 | 11.3 | 6.3  | 3.4 | 2.6    | 1.5 | N/A   | 1.2      | N/A | 15.2 | 2.4 | N/A | N/A  | N/A | N/A | N/A
Key Data                 | Público           | 2020-09-18      | 2020-09-18    | NE    | (500)       | 67.2          | 0.1       | 22.8 | 27.7 | 11.4 | 7.7  | 3.6 | 2.3    | 1.6 | N/A   | 1.2      | 0.5 | 14.7 | 1.9 | N/A | N/A  | N/A | N/A | N/A
Metroscopia              | N/A               | 2020-09-17      | 2020-09-17    | NE    | (1095)      | 59            | 0.1       | 21.0 | 28.3 | 10.2 | 5.7  | 2.7 | N/A    | N/A | N/A   | N/A      | N/A | 17.5 | N/A | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-09-07      | 2020-09-11    | NE    | (1000)      | N/A           | 0.1       | 22.4 | 28.6 | 11.3 | 7.3  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.5 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-09-07      | 2020-09-11    | NE    | 1227        | N/A           | 0.1       | 20.3 | 27.0 | 11.1 | 8.6  | 3.4 | 2.7    | 1.3 | N/A   | 1.2      | 0.5 | 16.6 | 2.2 | 0.6 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-09-01      | 2020-09-11    | NE    | 1065        | 63.4          | 0.1       | 22.1 | 28.1 | 12.3 | 6.1  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.8 | N/A | N/A | N/A  | N/A | N/A | N/A
Sigma Dos                | Antena 3          | 2020-09-06      | 2020-09-06    | NE    | (1000)      | N/A           | 0.1       | 25.3 | 28.9 | 12.1 | 6.2  | 3.3 | 1.6    | 1.9 | N/A   | N/A      | N/A | 13.5 | 0.9 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-08-30      | 2020-09-03    | NE    | 1240        | N/A           | 0.1       | 20.8 | 27.5 | 10.6 | 8.2  | 3.4 | 2.7    | 1.4 | N/A   | 1.2      | 0.5 | 16.4 | 2.3 | 0.7 | N/A  | N/A | N/A | N/A
SocioMétrica             | El Español        | 2020-08-28      | 2020-08-30    | NE    | 1620        | 62.1          | 0.1       | 24.1 | 27.3 | 9.6  | 8.7  | 3.4 | 2.7    | 1.7 | N/A   | 1.3      | 0.6 | 14.3 | 2.3 | 0.6 | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-08-25      | 2020-08-29    | NE    | 1000        | N/A           | 0.1       | 24.7 | 26.9 | 10.7 | 5.7  | 3.5 | 2.5    | 1.5 | N/A   | 1.3      | N/A | 15.0 | 2.4 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-08-23      | 2020-08-27    | NE    | 1430        | N/A           | 0.1       | 21.4 | 27.4 | 11.5 | 7.5  | 3.5 | 2.7    | 1.4 | N/A   | 1.2      | 0.5 | 15.8 | 2.1 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-08-18      | 2020-08-21    | NE    | 1520        | N/A           | 0.1       | 22.1 | 27.2 | 11.2 | 7.4  | 3.5 | 2.8    | 1.3 | N/A   | 1.2      | 0.5 | 15.3 | 2.1 | 0.7 | N/A  | N/A | N/A | N/A
SW Demoscopia            | N/A               | 2020-08-19      | 2020-08-21    | NE    | 1001        | N/A           | 0.1       | 20.2 | 28.7 | 11.4 | 9.5  | 3.6 | 2.5    | 1.5 | N/A   | 1.3      | N/A | 15.9 | 1.2 | N/A | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-08-03      | 2020-08-06    | NE    | 1046        | 65.1          | 0.1       | 22.9 | 29.2 | 11.4 | 6.3  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 13.5 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-08-10      | 2020-08-13    | NE    | 1802        | N/A           | 0.1       | 22.9 | 26.7 | 11.5 | 7.2  | 3.6 | 2.9    | 1.3 | N/A   | 1.3      | 0.5 | 14.7 | 2.1 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-08-03      | 2020-08-06    | NE    | 2150        | N/A           | 0.1       | 23.0 | 26.8 | 11.6 | 7.7  | 3.8 | 3.0    | 1.3 | N/A   | 1.3      | 0.5 | 14.1 | 2.1 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-08-03      | 2020-08-04    | NE    | 1530        | N/A           | 0.1       | 23.1 | 27.5 | 10.6 | 7.9  | 3.7 | 2.8    | 1.4 | N/A   | 1.3      | 0.5 | 14.1 | 2.1 | 0.7 | N/A  | N/A | N/A | N/A
Celeste-Tel              | eldiario.es       | 2020-07-27      | 2020-07-31    | NE    | 1100        | 64.1          | 0.1       | 24.4 | 28.7 | 11.9 | 5.3  | 3.5 | 2.2    | 1.6 | N/A   | 1.2      | 0.6 | 14.6 | 2.2 | 0.9 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-07-25      | 2020-07-31    | NE    | 1700        | N/A           | 0.1       | 23.0 | 28.9 | 10.0 | 7.7  | 3.7 | 2.4    | 1.4 | N/A   | 1.3      | 0.5 | 14.2 | 1.9 | 0.7 | N/A  | N/A | N/A | N/A
Metroscopia              | N/A               | 2020-07-26      | 2020-07-26    | NE    | (1095)      | N/A           | 0.5       | 25.0 | 29.5 | 10.5 | 5.5  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 13.0 | N/A | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-07-20      | 2020-07-24    | NE    | (1000)      | N/A           | 0.1       | 21.4 | 29.1 | 11.9 | 7.9  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.0 | N/A | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-07-20      | 2020-07-24    | NE    | 1500        | N/A           | 0.1       | 22.7 | 29.1 | 9.9  | 7.9  | 3.8 | 2.4    | 1.4 | N/A   | 1.3      | 0.5 | 14.1 | 2.0 | 0.7 | N/A  | N/A | N/A | N/A
CIS                      | N/A               | 2020-07-09      | 2020-07-19    | NE    | 2926        | N/A           | 0.1       | 19.4 | 32.4 | 12.6 | 8.7  | 2.8 | 1.3    | 1.0 | N/A   | 1.0      | 0.5 | 12.3 | 1.6 | 0.8 | N/A  | N/A | N/A | N/A
Key Data                 | Público           | 2020-07-17      | 2020-07-17    | NE    | (500)       | 68.0          | 0.1       | 23.7 | 27.7 | 12.4 | 7.2  | 3.6 | 2.3    | 1.7 | N/A   | 1.2      | 0.5 | 12.9 | 1.9 | N/A | N/A  | N/A | N/A | N/A
NC Report                | La Razón          | 2020-07-14      | 2020-07-18    | NE    | 1000        | 62.2          | 0.1       | 25.2 | 26.4 | 10.7 | 5.5  | 3.6 | 2.4    | 1.6 | N/A   | 1.3      | N/A | 14.9 | 2.1 | N/A | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-07-12      | 2020-07-17    | NE    | 1500        | N/A           | 0.1       | 23.4 | 27.5 | 10.3 | 7.5  | 3.6 | 2.7    | 1.4 | N/A   | 1.3      | 0.5 | 14.5 | 2.1 | 0.7 | N/A  | N/A | N/A | N/A
Simple Lógica            | N/A               | 2020-07-01      | 2020-07-08    | NE    | 1035        | 64.1          | 0.1       | 21.8 | 29.1 | 12.5 | 6.4  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.0 | N/A | N/A | N/A  | N/A | N/A | N/A
GAD3                     | ABC               | 2020-07-06      | 2020-07-14    | NE    | 2300        | N/A           | 0.1       | 27.6 | 29.1 | 10.1 | 5.2  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 11.2 | 1.8 | N/A | N/A  | N/A | N/A | N/A
IMOP                     | CIS               | 2020-07-01      | 2020-07-09    | NE    | 3032        | N/A           | 0.1       | 21.2 | 32.1 | 12.1 | 8.8  | 2.7 | 1.5    | 1.3 | N/A   | 0.8      | 0.4 | 11.6 | 0.9 | 0.7 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-07-03      | 2020-07-10    | NE    | 3700        | N/A           | 0.1       | 22.9 | 26.6 | 11.2 | 8.6  | 3.7 | 2.8    | 1.4 | N/A   | 1.2      | 0.5 | 15.0 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
electoPanel              | electomania.es    | 2020-06-29      | 2020-07-02    | NE    | 3100        | N/A           | 0.1       | 23.5 | 26.3 | 11.9 | 8.5  | 3.5 | 2.6    | 1.3 | N/A   | 1.2      | 0.5 | 14.6 | 1.9 | 0.5 | N/A  | N/A | N/A | N/A
DYM                      | Henneo            | 2020-06-24      | 2020-06-27    | NE    | 1000        | N/A           | 0.1       | 22.4 | 26.0 | 11.3 | 8.3  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 15.1 | N/A | N/A | N/A  | N/A | N/A | N/A
GESOP                    | N/A               | 2020-06-22      | 2020-06-26    | NE    | 750         | N/A           | 0.5       | 23.5 | 28.5 | 13.5 | 6.0  | 3.0 | 2.0    | N/A | N/A   | N/A      | N/A | 13.0 | N/A | N/A | N/A  | N/A | N/A | N/A
Invymark                 | laSexta           | 2020-06-22      | 2020-06-26    | NE    | (1000)      | N/A           | 0.1       | 21.0 | 27.8 | 12.8 | 8.7  | N/A | N/A    | N/A | N/A   | N/A      | N/A | 14.1 | N/A | N/A | N/A  | N/A | N/A | N/A
