Polling firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | DUP  | SF   | SDLP | UUP  | Alliance | TUV | Other
LucidTalk    | N/A           | 2019-05-18      | 2019-05-19    | E     | 1482        | N/A           | 0.1       | 21.8 | 26.3 | 13.3 | 11.8 | 11.6     | 9.3 | 7.3
LucidTalk    | N/A           | 2019-05-04      | 2019-05-07    | E     | 1405        | N/A           | 0.1       | 20.2 | 27.2 | 13.1 | 11.8 | 11.3     | 8.5 | 7.9
Survation    | N/A           | 2018-10-20      | 2018-11-02    | NE    | 555         | N/A           | 1         | 31   | 27   | 11   | 15   | 12       | N/A | 4
